domain,migration_month,source_url,quote,added_by,added_at
chubbiesshorts.com,2014-06,https://www.shopify.com/case-studies/chubbies,"The company upgraded to Shopify Plus in 2014 so it could focus on curating its brand as it scaled. (Previous platform: Shopify. Year only, month 06 approximate.)",cursor-research-agent,2026-09-09
blenderseyewear.com,2017-11,https://www.shopify.com/case-studies/blenders-eyewear,"Blenders Eyewear used Shopify Plus' Launchpad to execute two separate site designs, one for its Black Friday sale, another for its new promotion on Cyber Monday. Page states Previous platform: Shopify. (UPPER BOUND: on Plus by Nov 2017; exact upgrade date not stated.)",cursor-research-agent,2026-09-09
upscaleaudio.com,2019-07,https://www.shopify.com/case-studies/upscale-audio,"Hoffman switched the store to Shopify, launching on the Advanced plan... In the summer of 2019, Upscale Audio upgraded to Shopify Plus. (Summer 2019, month 07 approximate; explicit Advanced-to-Plus upgrade.)",cursor-research-agent,2026-09-09
knix.com,2020-06,https://www.shopify.com/case-studies/knix,"Simultaneously, Knix worked with Shopify Plus to take its warehouse sale virtual. Page states Previous platform: Shopify. (UPPER BOUND: on Plus by 2020; exact upgrade date not stated, month 06 approximate.)",cursor-research-agent,2026-09-09
suitshop.com,2020-06,https://www.shopify.com/case-studies/suitshop,"The move from Shopify to Shopify Plus was a move for efficiency as well... 117% average year-over-year growth from 2020 through 2023. (UPPER BOUND: Plus-attributed stats begin 2020; exact upgrade date not stated, month 06 approximate.)",cursor-research-agent,2026-09-09
tilecloud.com.au,2020-07,https://www.shopify.com/case-studies/tilecloud,"After upgrading to Shopify Plus in July 2020, TileCloud gained the ability to launch expansion stores. (Previous platform: Shopify. Exact month given in source.)",cursor-research-agent,2026-09-09
july.com,2021-02,https://www.shopify.com/case-studies/july,"Launching online with Shopify in early 2019... July upgraded to Shopify Plus in early 2021. (Early 2021, month 02 approximate.)",cursor-research-agent,2026-09-09
mulmul.com,2021-06,https://www.shopify.com/case-studies/mulmul,"With technical implementation support from Shopify development agency Mojito Labs, Mulmul migrated to Shopify's Plus plan in 2021. Also: Mulmul's pivot to Shopify in 2019. (Year only, month 06 approximate.)",cursor-research-agent,2026-09-09
thesomewhereco.com,2021-06,https://www.shopify.com/case-studies/the-somewhere-co,"The brand had already upgraded its DTC operations platform from Shopify to Shopify Plus in 2021. (Year only, month 06 approximate.)",cursor-research-agent,2026-09-09
msread.com.my,2022-06,https://www.shopify.com/case-studies/ms-read,"On the advice of trusted partner Meekco Asia, MS. READ upgraded from Shopify to Shopify Plus in 2022. (Year only, month 06 approximate.)",cursor-research-agent,2026-09-09
oakywood.shop,2023-06,https://wecanflyagency.com/portfolio/oakywood,The client approached us to upgrade the store from Shopify to Shopify Plus. The brand already had its site on Shopify. (Agency project year listed as 2023; month 06 approximate.),cursor-research-agent,2026-09-09
girlswithgems.com,2024-12,https://www.shopify.com/case-studies/girls-with-gems,"Already on Shopify, Girls with Gems upgraded to Shopify's Plus tier when sales and revenue started to really take off... executed their 5 Days of Christmas sale in December 2024 using Launchpad. (UPPER BOUND: on Plus by Dec 2024; exact upgrade date not stated.)",cursor-research-agent,2026-09-09
